Title,Content,Date,Rating
Caisse prioritaire pas pour les prioritaires !,Je passe 2 fois dans la semaine et etant enceinte j'attends la longue queue à la caisse prioritaire ! Meme si les gens ne sont pas tous sympa pour me laisser passer la caissière me regarde et passe les clients suivants qui ne sont pas du tout prioritaire !  Faut laisser la priorités aux prioritaires ou laisser la caisse spécifique seulement aux prioritaires car ça  ne se fait pas tout le monde passe et personne n'etait prioritaire alors que je faisais la queue avec mon gros ventre et les maux de dos et jambes!,2020-08-22,medium
Encore 1 étoile c'est trop élevé !!,"Encore 1 étoile c'est trop élevé !!! Produits manquants à la commande facturées quand même.  Une galère pour se faire rembourser.  Et encore pas de remboursement on vous fait un avoir avec un minimum d'achat !!! Honteux,  sans parler qu'il ne faut vraiment pas être pressé pour le remboursement,  1mois et demi pour ma part avec 3 relances !!! Normal la direction ne peut pas se faire de grosses primes sinon !!!",2020-08-20,medium
aujourd'hui 17 Aout 2020 à 13h10,"aujourd'hui 17 Aout 2020 à 13h10je suis allée faire mes courses à GEANT CASINO de FONTAINE 38600 - 1 seule caisse ouverte...et une queue qui se profile jusqu'au bout du rayon aliments pour animaux...vous dire que j'ai rouspété...c'est un doux euphémisme. Je le signale à la personne qui est a l’accueil, mais elle me répond qu'elle ne peut rien faire..je vois une responsable ??? réponse idem !La queue s’amplifie. Comment est-il possible qu'aucun responsable ne se rende compte qu'il manque des caissières ? Ma colère devient ENORME..et je laisse mes commissions sur place...poulet...charcuterie...etc.. Je pars tout en criant l'incapacité du magasin à servir ses clients...lorsqu'une personne employée du magasin m'invite a aller faire mes courses ailleurs....ce que je ne manquerai pas !!",2020-08-17,medium
ZERO,Drive Casino de Chaumont.Une catastrophe à chaque fois.Produits manquants en permanence alors que soit disant en magasin.Remplacement non équitable.Produits payés alors que non livré.Bref à fuir !!!!!,2020-08-17,medium
casino Narbonne livraison domicile a éviter,"J'ai fait une commande de 90 euros pour une livraison à mon domicile ,elle ne m'est jamais parvenu. Le livreur aurait attendu 45minutes devant la porte en essayant de m'appeler par téléphone et la personne qui lui répondait affirmé ne pas avoir commander des courses  alors celui-ci a préféré rentrer au dépôt.Après m'avoir appelé de nouveau et vociféré en me disant qu'il ne me livrerait plus ;celui-ci s'est rendu compte qu'il avait un mauvais numéro de téléphone. Bravo.  Apparement descendre de son camion était aussi difficile pour lui  que d'atteindre la sonnette. Alors voila je n'ai pas mes courses.",2020-08-17,medium
Géant Casino salon de Provence.,"Géant Casino salon de Provence.Acheté ce jour, au rayon frais, un plat de pomme dauphines, prête à être réchauffées. Arrivé à l’heure de préparation du repas, ouverture du cellophane, et.... ô surprise... toutes les pommes dauphines sont moisies!!!!!!!!..... plus de 4€ l’article, qui plus est en rayonnage frais refrigéré!.... bien sûr la date de péremption à été vérifiée avant et après achat: 19/08/2020. Nous sommes extrêmement consciencieux quand au respect de la chaîne du froid (ma compagne a 24 ans d’experience en restauration collective). Bref, un scandale, une honte.... demain matin, direction chez ces soi-disant professionnels de l’alimentation!.... à suive...",2020-08-15,medium
Totalement excédée,"Totalement excédée, je me suis rendue il y’a 10 jours pour une cafetière Tassimo soldée à 34€ et quelques au lieu de 77€, à la caisse le prix n’était même pas le bon, je me rends à l’accueil pour demander remboursement, ayant prix l’étiquette en photo je la montre à la gérante (très sympa) qui appelle une de ses collègues, celle-ci en pose nous fait poiroter 10 minutes... Bref, pour au final me dire que j’avais raison ! impossible d’être remboursée, à la place j’ai eu un avoir.... Aujourd’hui encore la même histoire, je retourne au rayons des promotions (chapiteau) pour cette fois un aspirateur, prix soldé au alentours de 60€, un BOSH, au lieu de 93€. À la caisse il passe à 105€ !! Je dis à la caissière que le prix n’est pas le bon, elle me certifie que si, appelle son collègue qui lui dit que ce prix n’existe pas (60€), impatiente la caissière me dit « vous le prenez ?? » Au passage apprenez à être aimable ! 105€ ce n’est pas rien... Navrée de vouloir réfléchir !! Bref une belle bande de menteurs, leurs réductions sont inexistantes limite nous sommes des menteurs... je ne retournerai pas !! HONTEUX ! 2 fois de suite.",2020-08-11,medium
Réclamation,"Bonjour,Suite a un dysfonctionnement du terminal de paiement, mes réductions casino max et bon d'achat n'ont pas été déduits de mes achats (achats du 03/03/2020). Après de nombreux mails et contact au 3911 et messages sur mon compte casino la régularisation n'a toujours pas été effectuée. Le ticket de caisse indique pourtant "" vos avantages fidélités seront calculés dans les jours qui viennent et ajoutés sur votre compte"".N'ayant pas obtenu satisfaction j'ai adressé une LR avec avis de réception au directeur du magasin le 09/07/2020. Avis de réception qui a bien été transmis.Depuis aucune nouvelle ! On constate le peu de considération que ce monsieur a pour ses clients.Mais peut-être est-ce la politique de Géant Casino !",2020-08-06,medium
Incompréhension des bons d'achats…,Grand coup ..... pour casino aix en Provence concernant leur réduction de 8€ pour un montant de 60 €.Hier je suis allé faire les courses notamment les fournitures scolaires pour moi ainsi que mon frère.Le 1 er bon est passé sans problème. Lorsque je remets le second la caissière m'annonce sèchement celui-ci ne peut pas passé. Je lui demande la raison en réponse un seul non par jour.Dans les conditions il est stipule un seul bon par jour et PAR FOYER. Aux responsables avant de mettre en pratique vos publicités informez vos caissières et de surcroît la responsable qui vous regarde d'un air condescendant.,2020-08-06,medium
Quel manque de professionnalisme,"Quel manque de professionnalisme dans le Géant Casino près de chez moi. Dans le catalogue un produit que je prend en 2 exemplaires est à 68% de réduction pour le deuxième mais aucune affiche en rayon le signalant. Dans d'autres rayons des produits ayant l'affichette ""68% de réduction"" ne sont pas dans l'application Casino MAX et donc ne peuvent avoir la réduction. A l’accueil refus de reprendre les 2 produits qui n'ont pas eu la réduction indiquée dans le catalogue car se sont des produits frais et il faut écrire à casino pour se faire rembourser. Autre erreur, sur le ticket une réduction de 20% sur des fruits a un libellé incompréhensible pour faire le rapprochement avec les fruits achetés. Bref un manque de professionnalisme que je ne retrouve pas chez son concurrent direct.",2020-08-03,medium
Moules de bouchot,Moules de bouchot : excellente ! C'est très rare de trouver un tel produit dans notre région ! Parfait !,2020-08-01,medium
Gros problèmes de communication,"Gros problèmes de communication. Je suis un client régulier, et j'ai la carte de fidélité. Et depuis plusieurs mois je n'ai plus aucune offre qui marche sur ma carte. J'ai contacté le magasin et le sav, et aucun n'a cherché à trouver mon problème, et me dise que c'est de ma faute, car je ne lis pas leur promo (hors c'est faux, puisque je le fais depuis des années): au final, il me dise que ma carte ne fonctionne pas car je n'ai pas téléchargé leur application (impossible pour moi n'ayant pas un téléphone pour ça), mais personne ne m'a jamais dit que ma carte était obsolète. Donc très mauvais commerciaux, sans aucun tact avec leurs clients, une organisation très mauvaise, et un personnel incompétent.",2020-08-01,medium
Ne recommande pas,"Bonjour, étant en vacances sur Montpellier, je suis venue faire mes courses 3 fois de suite en 2 semaines et j ai dépensé plus de 600€ pour ma famille, en bonne vivante... Juste apres avoir réglé en caisse, j ai oublie de présenter mes bons de réduction... La caissiere me dit de me rendre a l accueil et la j ai un refus catégorique de la jeune femme me disant que mes reductions sont perdues sauf si je me fais rembourser a l accueil et que je refais le tour des rayons afin de racheter les produits... Bref je comprends alors qu aucun effort ne sera fait de la part du magasin et je suis tres déçue etant moi meme dans le commerce et sachant qu un credit du bon est tout a fait possible car d autres enseignes le pratique... Ce petit effort m aurait simplement permis de parler positivement de l enseigne et d echanger avec toutes les personnes de mon entourage. De plus je reviens chaque année et ne reviendrai plus a cet endroit ! Bien a vous",2020-07-31,medium
Fuyez !!,"Fuyez !!! N'achetez aucun électroménager ou appareil assujetti à une garantie.  Ils sont incompétents pour traiter une demande SAV, voilà 4 jours que je suis sans réfrigérateur et ils me demandent de patienter encore.  Avec 3 enfants, l'alimentation jeté, on me demande de rester calme.  C'est incroyable !!! Ils brassent tellement de clients qu'ils se foutent royalement du suivi client.",2020-07-27,medium
très mauvais accueil,très mauvais accueil. Je pense que le service est a revoir.,2020-07-27,medium
Très grosse baisse de qualité,"Bonjour.Je commande beaucoup chez Casino car ils ont des produits que je ne trouve pas ailleurs. GROS point noir, vous choisissez un créneau horaire de 2 heures mais les livreurs ne sont JAMAIS à l'heure, ne vous préviennent pas et parfois débordent de plusieurs heures.Ça devient un gros problème si on ajoute à cela qu'ils remplacent à loisir pas mal d'articles non disponibles. Je vais être amené à changer d'enseigne. Dommage. Un peu de respect pour le client ne serait pas inutile.",2020-07-18,medium
le magasin a mal évolué ces dernières…,"le magasin a mal évolué ces dernières années,Plusieurs expériences très désagréables.... Produits bas de gamme et chers ,et le personnel est désagréable  , voir soupçons de racisme pour certaine caissière , privilégiez les caisses automatiques pour éviter ces soucis .j'ai mis  1 Étoile car on ne peut mettre 0.Je repars vers d’autres enseignes beaucoup plus sympathique et agréable ( Carrefour, Leclerc, hyper U ....)",2020-07-17,medium
Géant casino espace Anjou à Angers À éviter,"Géant casino espace Anjou à Angers : Rayons mal achalandés, indications insuffisantes, dans l’ensemble produits plus chers que la concurrence et de qualité moindre.Difficile d’obtenir des renseignements, peu de disponibilités des vendeurs, et pour parachever l’ensemble, caissière outrancière, incorrecte et peu serviable je préfère les automates.Toujours les mêmes désagréables impressions les rares fois où je m’y suis rendu et je me promet de ne plus y revenir, il y a tellement d’autres commerces plus agréables et performants.",2020-07-16,medium
ARNAQUE 120 EUROS : CASINO DRIVE,"J'ai patienté 2 mois pour avoir un remboursement d'articles (non livrés lors d'une commande en livraison) de mon magasin qui ne l'a jamais fait. Au final, sans réponse du magasin, le SAV m'a proposé de me rembourser directement mais ne pouvait pas le faire sur ma CB, uniquement sous forme de code réduction. Dans la foulée, je passe une commande pour bénéficier d'une offre promotionnelle boxing days (120 euros de réductions) à condition d'atteindre le montant de 120 euros lors de la commande. Montant que je dépasse MAIS en utilisant le code de remboursement fourni précédemment. Quelques jours plus tard, Le SAV m'apprends que je ne pourrais pas bénéficier de l'offre car j'ai utilisé le code de remboursement...Si le remboursement m'avait été fait sur ma CB comme je le souhaitais au départ, j'aurais pu bénéficier de l'offre mais pas dans ce cas...et on me le dit après validation de ma commande bien sur. AUCUN GESTE COMMERCIAL et refus du SAV.Dans les CGV il est bien précisé que ce n'est pas cumulable avec un code de réduction mais dans ce cas précis c'était un remboursement pas une réduction cadeau, cela n'aurait pas du rentrer en compte...une belle arnaque leur offre! Méfiez vous des offres alléchantes sur casino, ils se débrouilleront pour ne pas le remplir!",2020-07-06,medium
"""Géant Casino Briançon"" qui a rien de…","""Géant Casino Briançon"" qui a rien de géant, sauf le ""bordel"" aux caisses. De fausses caisses ""prioritaires"" où c'est la panique, obligation de scanner sur un système mal conçu, à l'inverse des systèmes rapides habituels (il faut tout scanner et laisser sur la balance, et on ne peut charger qu'après avoir payé, ""sans toucher la balance !"" comme dit l'adjudant de service !). Personnel peu aimable et même pénible qui explique mal. Signalisation mal faite et quasi inexistante. Bref, c'est NUL, Nous avons failli leur laisser le chariot au milieu du système. La prochaine fois, nous irons chez un concurrent",2020-07-01,medium
Geant Casino Poitiers ou le mépris du…,"Geant Casino Poitiers ou le mépris du client.Ce mardi 30 juin 2020, le Geant Casino Poitiers oblige ses clients quelque soit la taille de leur caddie ( produits alimentaires + de 200€) à passer aux caisses automatiques, tout cela pour ne pas mettre de personnel aux caisses normales. Un personnel désagréable, certainement du au nombre de manifestations des clients, et pour comble des allées sales maculées de produits éclatés.Si Casino souhaite privilégier les ouvertures des dimanches en automatique, c'est un choix, s'il souhaite faire fuire ses clients qu'il continue.Un client de passage qui ne prendra pas cet établissement dans son panel de référence.",2020-06-30,medium
de plus en plus decue  des services…,"de plus en plus decue  des services geant particulièrement des surveillants.aujourdhui mercredi 10 JUIN a 17 heures je regagnais la sortie mais en passant devant le MARQEE cafe  et en suivant les fleches (covid )obligatoires le passage etant bloque par 1 chariot avec lequel jouait un enfant j'ai pousse la chaise haute (vide) de la famille attablee qui n'a pas admis mon geste ;aussitôt 1 jeune de la meme famille s est leve de table et est venu me frapper violemment a l epaule gauche "" pour defendre"" safamille .je suis restee choquee physiquement et moralement par cette attitude.le service de securite que jai fait appeler a mis plus de 10 MIN avant de me rejoindre et de demander au final de me calmer car la famille s était excusee je suis cliente du GEANT depuis son ouverture et je constate de en plus de laisser aller de négligences graves de la part de certains clients mais aussi du personnel….on m a dit:de toutes facons il y a des cameras mais a quoi vous servent elles?en acceptant la violence dans votre etablissement ainsi que le comportement de certains zonards vous n etes plus a la hauteur de votre reputation car vous ne protégez pas vos clients de toute forme d insecurite. vous perdez une vieille cliente!",2020-06-10,medium
Géant Casino Monthieu Saint Etienne,"Géant Casino Monthieu Saint Etienne : systématiquement, 4 à 6 articles manquants déclarés en rupture de stock, dont beaucoup de produits frais (peu crédible !). Remplacement quelquefois aléatoire. Des erreurs de facturation mais en général à mon bénéfice ! impression d'un manque de professionnalisme. Après quelques expériences très moyennes, changement pour le drive d'une autre enseigne, nettement plus fiable",2020-06-08,medium
des belles arnaques,on s'aperçoit toujours des arnaques. pour lesquelles ils devraient avoir des amandes car ils affichent des faux prix et des fausses promo.exemples:- artichauts affiché le bouquet à 500g sauf que quand je les mets sur la balance elles pensent 460g !!!- thon entier de petit navire 2x140g à 3.69e et à côté c'est marqué que le kilo est à 9.71e... faut leur apprendre à calculer!!!- poissonnerie pour 15e de poisson acheté vous cagnottez 15e sauf qu'on a jamais reçu et à l'accueil on nous dit que c'est pas cagnotté mais et donner en bon d'achat qu'on peut utiliser qqs jours après notre achat de poisson et on peut l'avoir SEULEMENT À PARTIR DE 75e D'ACHAT !!! j'ai des photos et des tickets de tout je vais voir avec les associations.que des trucs des arnaques comme ça ! faudrait enfin que les associations des consommateurs fasse un tour chez eux car ils font ce qu'ils veulent casino.,2020-05-29,medium
Toujours satisfait de mes achats sur ce…,Toujours satisfait de mes achats sur ce site.,2020-05-28,medium
Drive geant Catastrophique,catastrophique le drive geant ...je comprends qu il manque des produits ...mais pire il sustitue des produits avec n importe quoi ...je demande des sachets de levure boulangere ...ils me donne à la place des préparations gâteaux déjà faites sauf que la levure boulangere c est pour faire du pain ...de la laitue avec de la feuille de chêne...OK c est de la salade ...mais c est pas pareil ...du chocolat light avec une tablette de chocolat noir avec éclat de noisette...c était juste pour un petit ecart à mon regime ... donc pour compenser d énorme rupture de stock ...des substitutions hasardeuses...ce fut la premiere et derniere fois que je fais ce drive ...dommage . Mais à quoi ça sert de faire une liste de courses si tu repars avec  n importe quoi ! Ah au fait ...le point retrait laisse à désirer au niveau hygiene ...super en plein épidémie. Par contre a l accueil pour rendre les produits de substitution hasardeuse ...accueil parfait  et très professionnel...j aurai aimé avoir ce professionnalisme au drive !,2020-05-25,medium
1h d'attente au sav,"1h d'attente au sav. 7 employées derrière la caisse, une pour le SAV.Respect pour le personnel est il écrit. Le client on s'en fiche on a fait remarqué que nous attentions depuis 1 h par un seul mot d'excuse. Votre magasin ne mérite même pas une étoile.A FUIR.",2020-05-18,medium
commande par drive le 18 mai,"commande par drive le 18 mai, après 48 minutes d'attente, je récupère ma commande. Alors que j'avais sélectionné pas de remplacement, on me propose d'autres produits car il y a des manquants. Par d'autres produits de moins bonnes qualités et avec une quantité inférieure que j'ai refusé.Mais le pire et ce que je n'accepte pas c'est qu'en déchargeant les sacs de courses chez moi je constate qu'un des paquets de chips est éventré sur 1 centimètre (coupe franche style cutter) et également que les 16 brioches commandées se périment dans 2 jours (alors que c'est des produits en date longue). C'est vraiment inadmissible de votre part de donner des dates de péremption ultra courte alors qu'en magasin les dates vont plus loin.Je ne suis pas satisfait de votre service et qualité de votre drive.Le drive casino ou l'art et la manière de prendre les gens pour des pigeons et écouler les stocks morts.",2020-05-18,medium
J'AI FAIS 9 RECLAMATIONS SANS AUCUNE REPONSE,"Je fais ma première  réclamation le 02/04/2020 car j'ai commandé les courses en ligne le 25/03/20 et la livraison prévue pour le 30/03/20 entre 19 H et 21 H  je n'ai pas été livré et j'ai été  débité sur mon compte .Ou est passé ma marchandise.je suis Handicapé que dois faire .J'attends une réponse au plus vite merci d'avance . Vous avez perçu la somme de 76,91 euros le 02/04/2020 . J' en suis a ma 9 ème réclamation toujours pas de réponse  Je demande le remboursement dans les plus bref délai .",2020-05-16,medium
Premiere commande chronodrive Clermont…,"Premiere commande chronodrive Clermont une honte , des articles manquant , à la place des steak de thon jai des coquilles et Jacque deux fois moins cher et idem pour salade .... a faire",2020-05-14,medium
